"","loc_latitude","loc_longitude","pronoun","sexual_orientation","race","age","education","employment_status","location","attention_check","assignment","source","friendly","positive","sincere","comfortable","work_with","situation","peers","others_above","others_below","externally","hardworking","knowledgeable","motivated","leadership","project","warmth","professionalism","competence","perception"
"1",13.08430481,80.28048706,"He/his","Bisexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",7,7,6,7,7,6,7,6,7,6,6,6,7,6,6,6.8,6.4,6.2,6.46666666666667
"2",34.95779419,-85.30120087,"He/his","Heterosexual","White","22 - 30","High School/GED","Unemployed","Southeastern United States","Strongly Disagree","Treatment","AWS",7,7,7,7,7,5,5,4,7,4,6,4,5,4,7,7,5,5.2,5.73333333333333
"3",40.67370605,-73.53359985,"She/hers","Heterosexual","Asian/Asian American","41 - 50","Bachelor's Degree","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",6,6,6,6,6,5,5,3,5,2,5,5,5,5,5,6,4,5,5
"4",9.966705322,76.23330688,"He/his","Questioning","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","AWS",6,7,7,7,6,6,6,6,6,6,7,6,7,7,7,6.6,6,6.8,6.46666666666667
"5",33.80189514,-84.38610077,"She/hers","Bisexual","White","22 - 30","Ph. D.","Employed - Full Time","Southeastern United States","Strongly Disagree","Control","AWS",6,7,6,6,6,7,6,6,6,5,4,5,6,6,6,6.2,6,5.4,5.86666666666667
"6",40.76109314,-111.9002991,"She/hers","Heterosexual","White","41 - 50","Some graduate college","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","AWS",4,4,2,4,2,4,4,2,4,1,4,5,5,4,4,3.2,3,4.4,3.53333333333333
"7",8.880599976,76.59170532,"He/his","Bisexual","Asian/Asian American","31 - 40","Bachelor's Degree","Employed - Part Time","Not located in United States","Strongly Disagree","Treatment","AWS",6,6,4,6,6,6,6,6,6,6,5,6,5,6,6,5.6,6,5.6,5.73333333333333
"8",37.92689514,-122.3312988,"She/hers","Heterosexual","Hispanic/Latino","31 - 40","Ph. D.","Unemployed","Western United States","Strongly Disagree","Treatment","AWS",4,4,1,3,2,5,5,1,4,1,4,4,5,3,1,2.8,3.2,3.4,3.13333333333333
"9",39.0480957,-77.47280121,"She/hers","Bisexual","White","31 - 40","Master's Degree","Employed - Full Time","Midwestern United States","Strongly Disagree","Treatment","AWS",6,5,5,6,5,6,5,5,6,4,6,7,4,7,7,5.4,5.2,6.2,5.6
"10",37.75100708,-97.8219986,"He/his","Heterosexual","White","31 - 40","Master's Degree","Employed - Full Time","Southeastern United States","Strongly Disagree","Treatment","AWS",5,5,4,6,5,6,5,5,5,5,5,6,6,6,6,5,5.2,5.8,5.33333333333333
"11",38.92080688,-77.03600311,"She/hers","Heterosexual","White","22 - 30","Some graduate college","Employed - Full Time","Northeastern United States","Strongly Disagree","Treatment","MIDS",6,7,5,6,3,5,5,2,4,1,4,3,4,4,3,5.4,3.4,3.6,4.13333333333333
"12",-6.706497192,-35.15100098,"He/his","Heterosexual","Hispanic/Latino","Under 21","High School/GED","Student","Not located in United States","Strongly Disagree","Treatment","AWS",6,7,4,7,6,6,7,7,6,7,7,6,4,7,7,6,6.6,6.2,6.26666666666667
"13",40.65679932,-75.3911972,"He/his","Heterosexual","Asian/Asian American","31 - 40","Bachelor's Degree","Unemployed","Northeastern United States","Strongly Disagree","Treatment","AWS",4,5,4,4,4,5,4,4,5,4,4,4,4,4,4,4.2,4.4,4,4.2
"14",28.60139465,77.19891357,"He/his","Heterosexual","Asian/Asian American","41 - 50","Master's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Control","AWS",6,5,5,6,7,7,6,3,7,7,4,5,6,7,6,5.8,6,5.6,5.8
"15",13.08430481,80.28048706,"Decline to state","Bisexual","Asian/Asian American","22 - 30","Bachelor's Degree","Employed - Full Time","Not located in United States","Strongly Disagree","Treatment","AWS",5,6,4,5,5,4,5,4,6,5,5,5,5,5,5,5,4.8,5,4.93333333333333
