StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_DO,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_11,Q20_12,Q20_13,Q20_14,Q20_15,Q20_16,Q20_DO,Random ID,FL_16_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participation in research is completely voluntary.  You are free to decline to take part in the project.  You can decline to answer any questions and are free to stop taking part in the project at any time.  Your study data will be handled as confidentially as possible. Individual names and other personally identifiable information will not be used in any part of this study. Do you consent to taking this survey and being part of this experimental study?,Please mark your primary pronouns.,Please mark the sexual orientation you most identify with.,Please mark the races you identify as.,Please mark the age group you fall in.,Please mark your highest education level.,Please mark your current employment status.,Please mark your current location.,"Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan is friendly.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan has a positive attitude.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan is sincere.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - I would feel comfortable approaching Jordan with problems or challenges.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - I would like to work with Jordan.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - This email is appropriate for the situation.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - This email is acceptable to send to Jordan's peers at the same organizational level.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - This email is acceptable to send externally (for example, to a client).","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan is hardworking.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan is knowledgeable about their work.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan is highly motivated and committed to their work.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan has leadership qualities.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - I would like to work on a project led by Jordan.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - This is unrelated to the email. Select ""Strongly Disagree"" for this statement.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Display Order","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan is friendly.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan has a positive attitude.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan is sincere.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - I would feel comfortable approaching Jordan with problems or challenges.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - I would like to work with Jordan.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - This email is appropriate for the situation.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - This email is acceptable to send to Jordan's peers at the same organizational level.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - This email is acceptable to send externally (for example, to a client).","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan is hardworking.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan is knowledgeable about their work.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan is highly motivated and committed to their work.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Jordan has leadership qualities.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - I would like to work on a project led by Jordan.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - This is unrelated to the email. Select ""Strongly Disagree"" for this statement.","Please indicate how strongly you agree or disagree with the following statements. As a reminder, Jordan is the writer of the email you read in the previous step. - Display Order",Random ID,FL_16 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID12""}","{""ImportId"":""QID10""}","{""ImportId"":""QID9""}","{""ImportId"":""QID13""}","{""ImportId"":""QID11""}","{""ImportId"":""QID19""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_9""}","{""ImportId"":""QID6_10""}","{""ImportId"":""QID6_11""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID6_13""}","{""ImportId"":""QID6_14""}","{""ImportId"":""QID6_15""}","{""ImportId"":""QID6_16""}","{""ImportId"":""QID6_DO""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID24_7""}","{""ImportId"":""QID24_8""}","{""ImportId"":""QID24_9""}","{""ImportId"":""QID24_10""}","{""ImportId"":""QID24_11""}","{""ImportId"":""QID24_12""}","{""ImportId"":""QID24_13""}","{""ImportId"":""QID24_14""}","{""ImportId"":""QID24_15""}","{""ImportId"":""QID24_16""}","{""ImportId"":""QID24_DO""}","{""ImportId"":""Random ID""}","{""ImportId"":""FL_16_DO""}"
7/17/19 4:40,7/17/19 4:40,IP Address,148.75.1.59,100,29,TRUE,7/17/19 4:40,R_1gdxkmHHSwJxemk,,,,,40.79240417,-74.00959778,anonymous,EN,I agree and want to continue the survey,She/hers,Heterosexual,"African-American/Black,White",22 - 30,Bachelor's Degree,Employed - Part Time,Northeastern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37847,BL_b7ALVqd7xfUPSC1
7/17/19 4:40,7/17/19 4:40,IP Address,157.51.79.122,100,28,TRUE,7/17/19 4:40,R_3OkMXIJnjNV9AOi,,,,,13.08430481,80.28048706,anonymous,EN,I agree and want to continue the survey,He/his,Bisexual,Asian/Asian American,31 - 40,Bachelor's Degree,Employed - Part Time,Southwestern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81235,BL_b7ALVqd7xfUPSC1
7/17/19 4:40,7/17/19 4:41,IP Address,107.5.199.80,100,44,TRUE,7/17/19 4:41,R_2qyo05KNk6QKtjJ,,,,,42.91329956,-85.8144989,anonymous,EN,I agree and want to continue the survey,She/hers,Heterosexual,White,31 - 40,Bachelor's Degree,Employed - Full Time,Midwestern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28594,BL_b7ALVqd7xfUPSC1
7/17/19 4:40,7/17/19 4:41,IP Address,74.82.60.180,100,44,TRUE,7/17/19 4:41,R_21jm8Bk7s4GR9l5,,,,,37.5625,-122.0003967,anonymous,EN,I agree and want to continue the survey,She/hers,Heterosexual,African-American/Black,31 - 40,Bachelor's Degree,Employed - Full Time,Southwestern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63052,BL_b7ALVqd7xfUPSC1
7/17/19 4:40,7/17/19 4:41,IP Address,103.114.211.65,100,45,TRUE,7/17/19 4:41,R_6QCQ4npiZlDvVGV,,,,,10.99099731,76.96670532,anonymous,EN,I agree and want to continue the survey,He/his,Bisexual,"Asian/Asian American,White",31 - 40,Bachelor's Degree,Employed - Full Time,Northeastern United States,,,,,,,,,,,,,,,,,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,"This email is acceptable to send externally (for example, to a client).|Jordan is friendly.|Jordan has leadership qualities.|Jordan is highly motivated and committed to their work.|This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.|Jordan is sincere.|I would like to work with Jordan.|This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.|I would feel comfortable approaching Jordan with problems or challenges.|This is unrelated to the email. Select ""Strongly Disagree"" for this statement.|Jordan is knowledgeable about their work.|This email is appropriate for the situation.|Jordan is hardworking.|Jordan has a positive attitude.|This email is acceptable to send to Jordan's peers at the same organizational level.|I would like to work on a project led by Jordan.",89777,TreatmentEmail
7/17/19 4:40,7/17/19 4:41,IP Address,184.164.147.2,100,44,TRUE,7/17/19 4:41,R_2PCovi3LGzWNyEl,,,,,33.45320129,-112.0748978,anonymous,EN,I agree and want to continue the survey,He/his,Heterosexual,Decline to state,31 - 40,Some graduate college,Employed - Full Time,Southeastern United States,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,"Jordan has leadership qualities.|This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.|Jordan is hardworking.|Jordan is highly motivated and committed to their work.|This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.|I would like to work on a project led by Jordan.|This email is appropriate for the situation.|I would like to work with Jordan.|This email is acceptable to send externally (for example, to a client).|Jordan is friendly.|This is unrelated to the email. Select ""Strongly Disagree"" for this statement.|Jordan is sincere.|Jordan is knowledgeable about their work.|Jordan has a positive attitude.|This email is acceptable to send to Jordan's peers at the same organizational level.|I would feel comfortable approaching Jordan with problems or challenges.",23373,TreatmentEmail
7/17/19 4:40,7/17/19 4:41,IP Address,103.114.211.13,100,50,TRUE,7/17/19 4:41,R_33rtlJsiqy6ZuTg,,,,,10.99099731,76.96670532,anonymous,EN,I agree and want to continue the survey,He/his,Bisexual,White,22 - 30,Bachelor's Degree,Employed - Full Time,Midwestern United States,,,,,,,,,,,,,,,,,,Somewhat agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"I would like to work with Jordan.|I would like to work on a project led by Jordan.|Jordan has a positive attitude.|This email is acceptable to send to Jordan's peers at the same organizational level.|This email is acceptable to send externally (for example, to a client).|Jordan is friendly.|This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.|Jordan is sincere.|Jordan is highly motivated and committed to their work.|Jordan has leadership qualities.|This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.|Jordan is knowledgeable about their work.|This is unrelated to the email. Select ""Strongly Disagree"" for this statement.|This email is appropriate for the situation.|I would feel comfortable approaching Jordan with problems or challenges.|Jordan is hardworking.",42728,TreatmentEmail
7/17/19 4:40,7/17/19 4:41,IP Address,65.249.163.182,100,80,TRUE,7/17/19 4:41,R_O8oftBsdGgjbg5j,,,,,37.75100708,-97.8219986,anonymous,EN,I agree and want to continue the survey,She/hers,Heterosexual,Native American/Alaskan Native,31 - 40,Master's Degree,Employed - Full Time,Southwestern United States,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Jordan has leadership qualities.|Jordan has a positive attitude.|Jordan is sincere.|This is unrelated to the email. Select ""Strongly Disagree"" for this statement.|Jordan is friendly.|This email is acceptable to send to individuals lower in the organizational hierarchy than Jordan.|Jordan is hardworking.|This email is acceptable to send externally (for example, to a client).|I would feel comfortable approaching Jordan with problems or challenges.|This email is acceptable to send to individuals higher in the organizational hierarchy than Jordan.|This email is appropriate for the situation.|I would like to work with Jordan.|Jordan is knowledgeable about their work.|Jordan is highly motivated and committed to their work.|This email is acceptable to send to Jordan's peers at the same organizational level.|I would like to work on a project led by Jordan.",,,,,,,,,,,,,,,,,,12531,ControlEmail
